asset_id,price,token_price,sale date,x,y,asset_properties
30285130655963523248240340061427370819435,$763.255,"9,250 (MANA)","~5 days ago 11/6/2020, 7:50:28 AM",88,-149,"{'ok': True, 'data': {'id': '88,-149', 'x': 88, 'y': -149, 'auction_price': 1250, 'district_id': None, 'owner': '0x01ad29930499f0385b22137c0fbaebfd572fae67', 'data': {'ipns': '', 'name': ""Bryanchicken's coop"", 'version': 0, 'description': ''}, 'auction_owner': '0xccd5089557ae6a2ba063e8720e725a6bf743b3e8', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604667028000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
16673835979125984709705355764156642361383,"$3,756.288","48,000 (MANA)","~5 days ago 11/6/2020, 6:23:03 AM",49,39,"{'ok': True, 'data': {'id': '49,39', 'x': 49, 'y': 39, 'auction_price': 11972, 'district_id': None, 'owner': '0x268169a19bca3435451207f70be15436ed142f42', 'data': {'ipns': '', 'name': 'Amazing plot! overlooking Hacker city!', 'version': 0, 'description': 'Close to the Plaza and many districts including the Crypto valley! Great commercial or private land :O)'}, 'auction_owner': '0x54c426d5469a2c24bb3d0435c976ff12dba5e810', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}, 'district': {'district_id': '7ca33cfa-2b65-48b7-8f51-20e9e597196a', 'distance': 2}}}, 'last_transferred_at': '1604661783000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907809713841699760440716145634256646798573588,"$4,709.723","59,500 (MANA)","~6 days ago 11/6/2020, 4:25:30 AM",-128,20,"{'ok': True, 'data': {'id': '-128,20', 'x': -128, 'y': 20, 'auction_price': 4063, 'district_id': None, 'owner': '0x268169a19bca3435451207f70be15436ed142f42', 'data': {'ipns': '', 'name': 'this is THE spot for Fashion Island and X.  seriously.', 'version': 0, 'description': ''}, 'auction_owner': '0x82d62b76144cd5895475b7a7c08920e90b791734', 'tags': {'proximity': {'district': {'district_id': 'e3118325-fe60-45bd-9a10-358a26ce66e4', 'distance': 0}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604654730000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
38792189828986984834824705247221576105947,"$1,406.664","21,000 (MANA)","~6 days ago 11/5/2020, 12:08:17 PM",113,-37,"{'ok': True, 'data': {'id': '113,-37', 'x': 113, 'y': -37, 'auction_price': 1000, 'district_id': None, 'owner': '0x726e3b010934ecffb184b5f6b19a1edccdcbbb83', 'data': {'ipns': '', 'name': ""Raccoon's Hideout"", 'version': 0, 'description': 777}, 'auction_owner': '0x3a572361910939dfc230bc010dadc9de7bd3af4b', 'tags': {'proximity': {'district': {'district_id': '106f1557-4a92-41a4-9f18-40fcb90b4031', 'distance': 1}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604596097000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
48660378469694200275262568862742854238155,"$1,741.584","26,000 (MANA)","~6 days ago 11/5/2020, 12:06:24 PM",142,-53,"{'ok': True, 'data': {'id': '142,-53', 'x': 142, 'y': -53, 'auction_price': 11521.84, 'district_id': None, 'owner': '0x1ea027314c055705ac09d9bc742e6eacc7a1ceb2', 'data': {'ipns': '', 'name': ""🐉Asgandavorp's CROSSROADS CORNER🍄🐲   PRIME SPOT"", 'version': 0, 'description': 'PRIME metaverse real estate! This serene Mushroom Forest is THE Corridor to DRAGON CITY’s East Gate, the 🔥HOTTEST neighborhood in DCL! 🐲'}, 'auction_owner': '0xd362589ef1c42c614fc6cdb36cb4fcd0162f7e35', 'tags': {'proximity': {'district': {'district_id': '106f1557-4a92-41a4-9f18-40fcb90b4031', 'distance': 3}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 7}}}, 'last_transferred_at': '1604595984000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1545443371000', 'operator': None}}"
115792089237316195423570985008687907839318407621882087037459225103210632970327,$914.76,"14,000 (MANA)","~7 days ago 11/5/2020, 1:42:29 AM",-41,87,"{'ok': True, 'data': {'id': '-41,87', 'x': -41, 'y': 87, 'auction_price': 1000, 'district_id': None, 'owner': '0x5fae9d4b591f213b3ba75287f2cfac0883d17f7a', 'data': {'version': 0}, 'auction_owner': '0xea09431b6ddc2a52a997d690573934a72c8eb95b', 'tags': {'proximity': {'district': {'district_id': 'bc851635-ebd5-489a-9ec9-935d79230784', 'distance': 6}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 5}}}, 'last_transferred_at': '1604591085000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907804609606195946363764195015145170275401706,$993.969,"15,500 (MANA)","~7 days ago 11/4/2020, 8:00:43 PM",-144,-22,"{'ok': True, 'data': {'id': '-144,-22', 'x': -144, 'y': -22, 'auction_price': 2443, 'district_id': None, 'owner': '0x3ef4f264753e89b962b02c23e056480abb4f42ea', 'data': {'version': 0}, 'auction_owner': '0xccf590a3c2f21756b6c25ad195c4709befe8b1e2', 'tags': {'proximity': {'district': {'district_id': 'e3118325-fe60-45bd-9a10-358a26ce66e4', 'distance': 2}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 1}}}, 'last_transferred_at': '1604538043000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907811415253534365133033462507293805639630823,$659.421,"10,500 (MANA)","~7 days ago 11/4/2020, 9:28:51 AM",-124,-25,"{'ok': True, 'data': {'id': '-124,-25', 'x': -124, 'y': -25, 'auction_price': 1000, 'district_id': None, 'owner': '0xa8d26d64c6cfa6417e81b069622e34bf061acbce', 'data': {'ipns': '', 'name': 'Fashion Premium', 'version': 0, 'description': 'Verry cool spot right in between roads and fashion district ! Featuring custom content designed by PlanetVR.'}, 'auction_owner': '0x51bb8c0cac58e4e2a68a709e2f04b6f515880c33', 'tags': {'proximity': {'district': {'district_id': 'e3118325-fe60-45bd-9a10-358a26ce66e4', 'distance': 5}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 2}}}, 'last_transferred_at': '1604500131000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
30285130655963523248240340061427370819435,$444.115,"7,000 (MANA)","~8 days ago 11/3/2020, 7:20:56 PM",88,-149,"{'ok': True, 'data': {'id': '88,-149', 'x': 88, 'y': -149, 'auction_price': 1250, 'district_id': None, 'owner': '0x01ad29930499f0385b22137c0fbaebfd572fae67', 'data': {'ipns': '', 'name': ""Bryanchicken's coop"", 'version': 0, 'description': ''}, 'auction_owner': '0xccd5089557ae6a2ba063e8720e725a6bf743b3e8', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604667028000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907814818077203574517668096253368123321745363,$388.33,1 (WETH),"~8 days ago 11/3/2020, 6:32:07 PM",-114,-45,"{'ok': True, 'data': {'id': '-114,-45', 'x': -114, 'y': -45, 'auction_price': 1250, 'district_id': None, 'owner': '0x88341d1a8f672d2780c8dc725902aae72f143b0c', 'data': {'ipns': '', 'name': 'DappCraft Capsule Location ', 'version': 0, 'description': 'Get the latest DappCraft recipes for their newest wearables at this location.  '}, 'auction_owner': '0xccd5089557ae6a2ba063e8720e725a6bf743b3e8', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604446327000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
